"","SITE_ID","DUPLICATE_ID","REVISITED_OVERLAP","WSA_SITEID","YEAR","JULDAY","DATE_COL","LAT_DD","LON_DD","STATE","ECO10","EPA_hybird","FW_ECO9","ECO3","FW_ECO3","ECOLVL3","ECO_LVL_3NAME","REALM","SITECLS","LOC_NAME","RST_FSED_AND_RMD_PHAB","RST_FRIP_AND_RMD_PHAB","COND","PHLAB","PHSTVL","PTL","NTL","XCMGW","LRP100","QR1","LINCIS_H","XCDENMID","XCMG","W1_HALL","XEMBED","XFC_NAT","PCT_SAFN","DPCT_SF","LRBS_BW4","LRBS_BW5","LRBS_BW6","LRBS_G08","LRBS_TST","LRBS_USE","XCEMBED","CVDPTH","CVDTH","LBFWD_RAT","LBFXDRAT","LBFXWRAT","LSUB_DMM","LSUB_DMM_NOR","LDMB_BW4","LDMB_BW5","LDVRP100","LINCIS_D","PCT_FN","QRDIST1","QRVEG1","QRVEG2","REFID","RP100","W1H_WALL","XCDENBK","XINC_H","XINCISION_D","XINCISION_H","RMD_PHAB","RST_FRIP","RST_FSED","RT_NRSA1","STRAHCAT","STRAHLER","NA_L2NAME","EPA_REGION","XGB","NAMC_JOINED_StreamOr_1","XSLOPE","XSLOPE_FIELD","XSLOPE_FRDATA","XSLOPE_FRREF","XSLOPE_MAP","XWD_RAT","XWIDTH","XWXD","XBKF_W","XDEPTH","V1W_MSQ","V1WM100","V2W_MSQ","V2WM100","V4W_MSQ","V4WM100","C1TM100","C1WM100","C2TM100","C2WM100","C4TM100","C4WM100","FLOWSITE","BNK_THRESH","THRESH","THRESH3","THRESH2"
"429","WCAP03-R242","WCAP03-R242","N",NA,2004,NA,"16314",37.55053,-118.87193,"CA","XE_SOUTH","Southern Xeric Plains",NA,"XE",NA,13,"Central Basin and Range","WADEABLE","",NA,"R","R",NA,NA,8.16,13,119,0.135227273,0.571017142,0.292355,-1,0,0.142045455,0,18.818182,0.579545455,2.8571429,NA,-1.072768954,-1.074493308,NA,NA,-0.186290487,NA,18.4848485,0.35906504,NA,0.67694111,0.89584072,0.401755472,2.277485925,NA,3.35025488,3.351979233,NA,0.376724572,0,1,0.1608523,0.1553476,56,3.62406405,0,6.1497326,1.990909091,2.28080909,0,NA,"R","R",NA,NA,NA,"COLD DESERTS",9,0.847727273,1,"14.65000000",NA,NA,NA,NA," 13.664691","  4.4300000","1.565950e+00"," 11.1727273"," 28.9900000","0.001760540",NA,NA,NA,"0.000000000",NA,NA,"  4.0404040",NA,NA,NA,NA,"WADEABLE","LargeWade","XE_SOUTH_LargeWade","XE_SOUTH_LargeWade","XE_SOUTH_LargeWade"
"430","WCAP03-R244","WCAP03-R244","N",NA,2004,NA,"16279",37.55485,-118.17052,"CA","XE_SOUTH","Southern Xeric Plains",NA,"XE",NA,13,"Central Basin and Range","WADEABLE","",NA,"R","R",NA,NA,8.27,4,193,0.684090909,0.876217841,0.6071716,-1,50.5347594,1.152272727,0.3485,79.872727,0.252272727,71.4285714,NA,-2.475375298,-2.475375298,NA,NA,-2.33569366,NA,75.6969697,0.27162178,NA,0.65366004,0.20497045,0.148597183,-0.39960497,NA,2.07577033,2.075770328,NA,-0.199557879,27.6190476,0.7415647,0.4078409,0.740107,57,7.42,0,71.1229946,0.2,0.5316,0,NA,"R","R",NA,NA,NA,"COLD DESERTS",9,0.167045455,2," 3.80000000",NA,NA,NA,NA,"  5.046660","  1.6400000","5.625500e-01","  2.3090909"," 33.1600000","0.000000000",NA,NA,NA,"0.000000000",NA,NA,"  0.0000000",NA,NA,NA,NA,"WADEABLE","LargeWade","XE_SOUTH_LargeWade","XE_SOUTH_LargeWade","XE_SOUTH_LargeWade"
"431","WCAP03-R245","WCAP03-R245","N",NA,2004,NA,"16281",37.01111,-118.32869,"CA","XE_SOUTH","Southern Xeric Plains",NA,"XE",NA,13,"Central Basin and Range","WADEABLE","",NA,"R","R",NA,NA,7.58,3,144,1.038636364,0.926881889,0.7059764,-0.786,91.4438503,1.156818182,0.5,63.818182,0.3,54.2857143,NA,-1.652301994,-1.652991018,NA,NA,-1.487630373,NA,39.6969697,0.28712797,NA,0.61742077,0.222954566,0.043287865,0.372094096,NA,2.02439609,2.025085114,NA,-0.074242683,1.9047619,0.6666667,0.5673864,0.9302139,58,8.35048994,0,92.2459893,0.336363636,0.74286364,0.063636364,NA,"R","R",NA,NA,NA,"COLD DESERTS",9,0.5125,2," 2.60000000",NA,NA,NA,NA,"  6.739788","  2.4850000","9.708500e-01","  2.7454545"," 40.6500000","0.000426784",NA,NA,NA,"0.000000000",NA,NA,"  2.0202020",NA,NA,NA,NA,"WADEABLE","LargeWade","XE_SOUTH_LargeWade","XE_SOUTH_LargeWade","XE_SOUTH_LargeWade"
"432","WCAP03-R246","WCAP03-R246","N",NA,2004,NA,"16280",36.71855,-118.26585,"CA","XE_SOUTH","Southern Xeric Plains",NA,"XE",NA,13,"Central Basin and Range","WADEABLE","",NA,"R","R",NA,NA,7.74,1,195,0.844318182,0.75682972,0.7636293,-1,67.3796791,1.015909091,0,28.454545,0.596363636,7.6190476,NA,-1.006922271,-1.007985664,NA,NA,-0.502782781,NA,17.8787879,0.35556725,NA,0.67725693,0.524550339,0.180250189,1.938310892,NA,2.94523316,2.946296556,NA,0.156992195,0,1,0.4799432,0.9278075,59,5.61254613,0,91.9786096,0.936363636,1.33546364,0,NA,"R","R",NA,NA,NA,"COLD DESERTS",9,0.379545455,2,"10.10000000",NA,NA,NA,NA," 11.447448","  4.2200000","1.605500e+00","  6.3909091"," 39.9100000","0.001031294",NA,NA,NA,"0.000000000",NA,NA," 11.3636364",NA,NA,NA,NA,"WADEABLE","LargeWade","XE_SOUTH_LargeWade","XE_SOUTH_LargeWade","XE_SOUTH_LargeWade"
"433","WCAP03-R318","WCAP03-R318","N",NA,2004,NA,"16202",34.26829,-117.8911,"CA","MT_SWEST","Southwestern Mountains",NA,"MT",NA,8,"Southern California Mountains","WADEABLE","",NA,"R","R",NA,NA,8.45,4,151,0.489772727,0.99371947,0.6262511,-1,50,0.635227273,0,46.181818,0.352272727,8.5714286,NA,-0.203127084,-0.221232169,NA,NA,-0.005710706,NA,50.1515152,0.40080687,NA,1.11531563,0.292912532,0.21277627,1.958639181,NA,2.16176626,2.17987135,NA,-0.104763347,0,1,0.3203977,0.7665775,60,9.7564261,0,74.0641711,0.336363636,0.68566364,0,NA,"R","R",NA,NA,NA,"MEDITERRANEAN CALIFORNIA",9,0.5125,3," 3.85000000",NA,NA,NA,NA," 16.437265","  5.0350000","1.827050e+00","  8.2181818"," 34.9300000","0.007176438",NA,NA,NA,"0.000000000",NA,NA," 49.2424242",NA,NA,NA,NA,"WADEABLE","LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade"
"434","WCAP03-R325","WCAP03-R325","N",NA,2004,NA,"16196",36.32582,-121.78891,"CA","XE_CALIF","Xeric California",NA,"XE",NA,6,"Southern and Central California Chaparral and Oak Woodlands","WADEABLE","",NA,"R","R",NA,NA,7.92,3,46,1.702272727,1.372534499,0.9439185,-1,90.9090909,1.911363636,0,44.090909,0.75,15.2380952,NA,-0.086821379,-0.092643398,NA,NA,0.072760406,NA,39.6969697,0.53998313,NA,1.04866758,0.286036424,0.132742057,1.944076805,NA,2.03089818,2.036720203,NA,0.040886311,0,1,0.8660227,0.971123,61,23.47949495,0,96.7914438,0.481818182,0.99871818,0,NA,"R","R",NA,NA,NA,"MEDITERRANEAN CALIFORNIA",9,0.173863636,4," 2.10000000",NA,NA,NA,NA," 18.355211","  7.0450000","3.491450e+00","  9.5636364"," 51.6900000","0.003710393",NA,NA,NA,"0.000000000",NA,NA,"  8.5858586",NA,NA,NA,NA,"WADEABLE","LargeWade","XE_CALIF_LargeWade","Other","XE_CALIF_LargeWade"
"435","WCAP99-0501","WCAP99-0501","N",NA,2001,NA,"15133",34.54172,-118.77286,"CA","MT_SWEST","Southwestern Mountains",NA,"MT",NA,8,"Southern California Mountains","WADEABLE","TARGET",NA,"R","R",NA,NA,8.26,13,91,0.676136364,1.256039479,0.7013032,-1,33.0213904,0.803409091,0,54.636364,0.654545455,25.7142857,-8.41311042,-0.490958226,-0.490958226,NA,NA,-0.199141941,NA,53.4848485,0.46253427,NA,1.01330147,0.385107743,0.104687365,1.332762005,NA,1.82372023,1.823720231,0.402690821,0.011839464,0,1,0.4042614,0.8532086,62,17.93181651,0,83.6898396,0.545454545,0.92763636,0,NA,"R","R",NA,NA,3,"MEDITERRANEAN CALIFORNIA",9,0.489772727,5," 1.30000000",NA,NA,NA,NA," 20.599535","  6.4650000","2.328050e+00","  8.2272727"," 38.2181818","0.000000000",NA,NA,NA,"0.000000000",NA,NA,"  0.0000000",NA,NA,NA,NA,"WADEABLE","LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade"
"436","WCAP99-0506","WCAP99-0506","N",NA,2000,NA,"14851",41.22948,-120.40485,"CA","MT_PNW","Pacific Northwest",NA,"MT",NA,9,"Eastern Cascades Slopes and Foothills","WADEABLE","TARGET",NA,"T","T",NA,NA,7.99,45,248,0.747727273,0.51070583,0.4671638,-1,17.2459893,1.244318182,1.81819091,45.363636,0.488636364,11.4285714,-16.67930228,-0.073747806,-0.07555371,NA,NA,0.287686531,NA,47.4242424,0.30901668,NA,1.35213933,0.384330311,0.079918158,1.971787931,NA,2.04553574,2.04734164,-0.419025301,-0.090400213,3.8095238,0.3548376,0.4364773,0.6582888,838,3.1412,0,62.0320856,0.418181818,0.71208182,0,NA,"T","T",NA,NA,4,"WESTERN CORDILLERA",9,0.542045455,2," 2.40000000",NA,NA,NA,NA," 44.248025"," 11.4200000","3.199400e+00"," 13.7272727"," 29.3900000","0.001170844",NA,NA,NA,"0.000000000",NA,NA,"  4.2500000",NA,NA,NA,NA,"WADEABLE","LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade"
"437","WCAP99-0509","WCAP99-0509","N",NA,2001,NA,"15194",37.04447,-119.1104,"CA","MT_PNW","Pacific Northwest",NA,"MT",NA,5,"Sierra Nevada","WADEABLE","TARGET",NA,"S","S",NA,NA,7.6,3,71,0.806818182,0.899903377,0.6944594,-1,50.9358289,0.909090909,0,19.909091,0.468181818,15.2380952,-6.69120943,0.581060148,0.580368974,NA,NA,0.980425657,NA,14.5454546,0.44081603,NA,1.09643271,0.457031568,0.191169348,2.547156744,NA,1.9660966,1.96678777,0.025017517,-0.129314177,4.7619048,1,0.4630682,0.723262,339,7.8415153,0,69.2513369,0.418181818,0.64248182,0,NA,"S","S",NA,NA,2,"WESTERN CORDILLERA",9,0.439772727,2," 2.40000000",NA,NA,NA,NA," 26.828871","  5.0050000","1.222450e+00","  7.7727273"," 22.4300000","0.000288499",NA,NA,NA,"0.000000000",NA,NA,"  0.6734007",NA,NA,NA,NA,"WADEABLE","LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade"
"438","WCAP99-0512","WCAP99-0512","N",NA,2001,NA,"15216",40.03521,-122.61094,"CA","XE_CALIF","Xeric California",NA,"XE",NA,6,"Southern and Central California Chaparral and Oak Woodlands","WADEABLE","TARGET",NA,"T","T",NA,NA,8.51,2,579,0.554545455,0.884830426,0.6372113,-0.927,65.1069519,0.835227273,0.09090909,36.851852,0.154545455,16.1904762,-10.58998564,-0.220387535,-0.221986817,NA,NA,0.105519018,NA,41.8181818,0.60910112,NA,1.10962862,0.388782969,0.209132119,1.781278027,NA,2.00166556,2.003264844,0.000456334,-0.153516685,1.9047619,0.9166667,0.3495455,0.8074866,839,7.57061924,0,78.6096257,0.363636364,0.60223636,0.018181818,NA,"T","T",NA,NA,2,"MEDITERRANEAN CALIFORNIA",9,0.188636364,2," 2.90000000",NA,NA,NA,NA," 20.825094","  4.1900000","9.904500e-01","  6.7818182"," 23.8600000","0.000575911",NA,NA,NA,"0.000000000",NA,NA,"  6.7340067",NA,NA,NA,NA,"WADEABLE","LargeWade","XE_CALIF_LargeWade","Other","XE_CALIF_LargeWade"
"439","WCAP99-0515","WCAP99-0515","N",NA,2000,NA,"14881",39.41396,-120.98036,"CA","MT_PNW","Pacific Northwest",NA,"MT",NA,5,"Sierra Nevada","WADEABLE","TARGET",NA,"T","T",NA,NA,8.07,2,59,0.229545455,1.953964898,0.4014694,-1,31.2834225,0.327272727,1.04549091,40.727273,0.184090909,15.2380952,-0.87164691,0.273468578,0.273331008,NA,NA,0.230789833,NA,54.2424242,0.63393898,NA,0.86468396,0.196548721,0.14099227,2.091715999,NA,1.81824742,1.818384991,0.593147843,0.346905717,0,0.4888802,0.2032955,0.6510695,840,89.84248824,0,61.2299465,0.772727273,2.12282727,0,NA,"T","T",NA,NA,4,"WESTERN CORDILLERA",9,0.818181818,4," 0.78500000",NA,NA,NA,NA,"  9.849612","  9.7050000","1.547445e+01"," 13.4272727","135.0100000","0.000140111",NA,NA,NA,"0.000000000",NA,NA,"  1.8939394",NA,NA,NA,NA,"WADEABLE","LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade"
"440","WCAP99-0521","WCAP99-0521","N",NA,2000,NA,"14852",39.81211,-120.68135,"CA","MT_PNW","Pacific Northwest",NA,"MT",NA,5,"Sierra Nevada","WADEABLE","TARGET",NA,"S","S",NA,NA,8.1,4,101,0.659090909,0.825006711,0.619838,-1,40.3743316,0.875,0.13636364,42.145455,0.356818182,4.7619048,-9.20799864,0.084496936,0.058569698,NA,NA,0.361289357,NA,38.7272727,0.34168642,NA,1.18282223,0.352226296,0.231277458,2.189825606,NA,2.10532867,2.131255908,-0.201404118,-0.021892337,0,0.88,0.3965909,0.6823529,340,6.58354245,0,64.7058823,0.472727273,0.85084048,0,NA,"S","S",NA,NA,3,"WESTERN CORDILLERA",9,0.690909091,3," 2.60150000",NA,NA,NA,NA," 21.523843","  7.4350000","2.717550e+00"," 12.6636364"," 37.8113208","0.012915371",NA,NA,NA,"0.012516152",NA,NA,"  4.7619048",NA,NA,NA,NA,"WADEABLE","LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade"
"441","WCAP99-0527","WCAP99-0527","N",NA,2001,NA,"15207",40.10753,-122.02992,"CA","XE_CALIF","Xeric California",NA,"XE",NA,6,"Southern and Central California Chaparral and Oak Woodlands","WADEABLE","TARGET",NA,"R","R",NA,NA,8.03,23,203,1.528409091,1.049948647,0.9000067,-1,76.0695187,1.769318182,0,15,0.818181818,5.7142857,-26.79858294,0.305967567,0.305967567,NA,NA,0.586118741,NA,11.6666667,0.55935067,NA,1.09397617,0.355318815,0.176244515,2.253768623,NA,1.94780106,1.947801056,0.214577864,-0.097122277,1.9047619,1,0.7877841,0.9254011,65,11.11885789,0,91.71123,0.390909091,0.69960909,0,NA,"R","R",NA,NA,1,"MEDITERRANEAN CALIFORNIA",9,0.194318182,3," 2.20000000",NA,NA,NA,NA," 23.365526","  6.0100000","2.264550e+00","  9.0181818"," 30.8700000","0.000000000",NA,NA,NA,"0.000000000",NA,NA,"  0.0000000",NA,NA,NA,NA,"WADEABLE","LargeWade","XE_CALIF_LargeWade","Other","XE_CALIF_LargeWade"
"442","WCAP99-0534","WCAP99-0534","N",NA,2000,NA,"14781",34.61359,-118.77983,"CA","MT_SWEST","Southwestern Mountains",NA,"MT",NA,8,"Southern California Mountains","WADEABLE","TARGET",NA,"T","T",NA,NA,8.75,34,468,0.738636364,1.412554112,0.6379134,-1,62.4331551,1.056818182,0.47727273,54.215686,0.613636364,38.0952381,19.34663273,-1.124979749,-1.125196931,NA,NA,-0.768899824,NA,45.3333333,0.92959346,NA,0.8880758,0.435303705,0.163100243,1.318369476,NA,2.44334923,2.443566407,-0.056537016,0.21777816,0,0.6769231,0.4323864,0.8868984,841,25.75556973,0,87.4331551,0.981818182,1.55111818,0,NA,"T","T",NA,NA,5,"MEDITERRANEAN CALIFORNIA",9,0.453409091,5," 3.13500000",NA,NA,NA,NA," 11.135543","  5.8200000","4.955650e+00","  8.4727273"," 56.9300000","0.000222043",NA,NA,NA,"0.000000000",NA,NA,"  1.8939394",NA,NA,NA,NA,"WADEABLE","LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade"
"443","WCAP99-0535","WCAP99-0535","N",NA,2000,NA,"14774",34.43957,-118.75907,"CA","XE_CALIF","Xeric California",NA,"XE",NA,6,"Southern and Central California Chaparral and Oak Woodlands","WADEABLE","TARGET",NA,"T","T",NA,NA,8.17,19,188,0.456818182,0.985631222,0.4081809,-1,22.0588235,0.860227273,1.94697273,77.363636,0.140909091,54.2857143,16.55283656,-1.645017437,-1.645307745,NA,NA,-1.375286747,NA,81.6666667,0.37604397,NA,1.42248989,0.331910887,0.15268805,-0.012310918,NA,1.63270652,1.632996827,-0.53876065,-0.084549345,53.3333333,0.3393313,0.3055682,0.6558824,842,9.57456,0.27272727,61.7647059,0.386363636,0.72309631,0,NA,"T","T",NA,NA,5,"MEDITERRANEAN CALIFORNIA",9,0.636363636,5," 1.00000000",NA,NA,NA,NA," 49.133203"," 12.3900000","3.414500e+00"," 17.6100000"," 33.6732673","0.000147407",NA,NA,NA,"0.000000000",NA,NA,"  2.5000000",NA,NA,NA,NA,"WADEABLE","LargeWade","XE_CALIF_LargeWade","Other","XE_CALIF_LargeWade"
"444","WCAP99-0536","WCAP99-0536","N",NA,2000,NA,"14775",34.5196,-119.40537,"CA","MT_SWEST","Southwestern Mountains",NA,"MT",NA,8,"Southern California Mountains","WADEABLE","TARGET",NA,"R","R",NA,NA,8.37,4,63,0.722727273,1.291975412,NA,-1,NA,1.089772727,0,28.090909,0.515909091,5.7142857,-20.75672224,0.186777876,0.186620603,NA,NA,0.322845894,NA,27.2727273,0.47308205,NA,1.10737653,0.247197598,0.107549515,2.36027157,NA,2.17349369,2.173650968,0.532285068,-0.015442896,0,1,0.4252273,NA,66,19.48733775,0,NA,0.375454545,0.8650662,0,NA,"R","R",NA,NA,3,"MEDITERRANEAN CALIFORNIA",9,0.693181818,3," 3.25000000",NA,NA,NA,NA," 20.556340","  8.7900000","4.429200e+00"," 11.2600000"," 48.9611650","0.000094700",NA,NA,NA,"0.000000000",NA,NA,"  1.8382353",NA,NA,NA,NA,"WADEABLE","LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade"
"445","WCAP99-0539","WCAP99-0539","N",NA,2000,NA,"14810",33.77174,-116.76959,"CA","MT_SWEST","Southwestern Mountains",NA,"MT",NA,8,"Southern California Mountains","WADEABLE","TARGET",NA,"T","T",NA,NA,7.38,66,304,1.148863636,0.601972246,0.7293616,-1,93.7908497,1.594318182,0.45455454,55.555556,0.755555556,47.1910112,21.23977983,-0.597176764,-0.599684503,NA,NA,0.09341313,NA,62.5925926,1.12456793,NA,0.90674238,0.736806498,0.68608478,1.45050333,NA,2.04768009,2.050187833,-0.035611577,-0.290845722,8.988764,0.6874957,0.6169886,0.9147059,843,3.89919192,0.18181818,90.5228758,0.336363636,0.41186364,0,NA,"T","T",NA,NA,1,"MEDITERRANEAN CALIFORNIA",9,0.5375,3," 4.40000000",NA,NA,NA,NA," 12.330019","  0.7285714","8.100000e-02","  3.5363636","  7.5500000","0.000220889",NA,NA,NA,"0.000000000",NA,NA,"  1.3468013",NA,NA,NA,NA,"INTERRUPTED WADEABLE","LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade"
"446","WCAP99-0540","WCAP99-0540","N",NA,2000,NA,"14782",34.65136,-119.11845,"CA","MT_SWEST","Southwestern Mountains",NA,"MT",NA,8,"Southern California Mountains","WADEABLE","TARGET",NA,"T","T",NA,NA,8.15,17,289,0.447727273,0.037321438,0.4334224,-1,21.7914439,0.645454545,0.74245454,92.12766,0.054545455,70.4761905,32.75048691,-1.485555997,-1.485555997,NA,NA,-0.478850849,NA,93.5483871,0.44878238,NA,1.23481021,1.015512166,0.485587673,0.113379824,NA,1.59893582,1.598935821,-0.734203022,-0.226925269,1.9047619,0.5739031,0.3014773,0.4705882,844,0.98973635,0,41.1764706,0.445454545,0.49302736,0,NA,"T","T",NA,NA,3,"MEDITERRANEAN CALIFORNIA",9,0.610227273,2," 1.20000000",NA,NA,NA,NA," 68.700000","  2.7400000","1.321500e-01","  8.3818182","  4.7572816","0.000000000",NA,NA,NA,"0.000000000",NA,NA,"  0.0000000",NA,NA,NA,NA,"WADEABLE","LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade"
"447","WCAP99-0542","WCAP99-0542","N",NA,2000,NA,"14802",34.55085,-120.35832,"CA","XE_CALIF","Xeric California",NA,"XE",NA,6,"Southern and Central California Chaparral and Oak Woodlands","WADEABLE","TARGET",NA,"T","T",NA,NA,8.18,137,253,0.830681818,0.721181428,0.5339154,-1,54.5454546,0.972727273,1.38638182,66.181818,0.172727273,44.7619048,-5.96203835,-0.649507772,-0.651410607,NA,NA,-0.266505758,NA,65.7575758,0.34080134,NA,1.19256011,0.431417919,0.243914526,0.631710951,NA,1.28121872,1.283121558,-0.083871779,-0.207784884,8.5714286,0.4190444,0.4738068,0.7665775,845,5.16237057,0,74.0641711,0.327272727,0.51974798,0,NA,"T","T",NA,NA,3,"MEDITERRANEAN CALIFORNIA",9,0.5125,1," 0.60000000",NA,NA,NA,NA," 27.755692","  4.5000000","8.001000e-01","  7.8909091"," 19.2475248","0.000582104",NA,NA,NA,"0.000000000",NA,NA,"  3.3333333",NA,NA,NA,NA,"WADEABLE","LargeWade","XE_CALIF_LargeWade","Other","XE_CALIF_LargeWade"
"448","WCAP99-0547","WCAP99-0547","N",NA,2000,NA,"14803",34.19094,-119.08589,"CA","XE_CALIF","Xeric California",NA,"XE",NA,6,"Southern and Central California Chaparral and Oak Woodlands","WADEABLE","CANAL",NA,"T","T",NA,NA,8.06,13,89750,0.295454545,0.621169902,0.3046285,-1,27.9411765,0.384090909,3.23488182,98.181818,0.095454545,97.1428571,40.33696299,-3.154209368,-3.154209368,NA,NA,-2.786294764,NA,96.969697,0.334164,NA,0.61881274,0.417921924,0.206701235,-2.053995313,NA,1.10021405,1.100214055,0.025480581,-0.32319835,97.1428571,0.2361341,0.2329545,0.5139037,846,4.07993859,0.06818182,45.9893048,0.231818182,0.37511818,0,NA,"T","T",NA,NA,1,"MEDITERRANEAN CALIFORNIA",9,0.875,-1," 0.55000000",NA,NA,NA,NA,"  7.709924","  0.9150000","1.238000e-01","  1.4727273"," 14.3300000","0.000000000",NA,NA,NA,"0.000000000",NA,NA,"  0.0000000",NA,NA,NA,NA,"WADEABLE","LargeWade","XE_CALIF_LargeWade","Other","XE_CALIF_LargeWade"
"449","WCAP99-0550","WCAP99-0550","N",NA,2000,NA,"14788",34.16471,-116.97444,"CA","MT_SWEST","Southwestern Mountains",NA,"MT",NA,8,"Southern California Mountains","WADEABLE","TARGET",NA,"T","T",NA,NA,8.23,59,228,0.669318182,-0.342185971,0.7309722,-1,95.0534759,0.997727273,0,73.333333,0.618181818,36.1904762,12.70769511,-0.522269933,-1.522269933,NA,NA,-0.956785779,NA,72.4242424,0.54630953,NA,0.91905639,0.730875987,0.352754334,0.753401222,NA,1.27567115,2.275671155,-0.739160701,-0.384422934,0,1,0.4011932,0.9735294,847,0.35479327,0,97.0588235,0.254545455,0.31264546,0,NA,"T","T",NA,NA,2,"MEDITERRANEAN CALIFORNIA",9,0.652272727,3,"12.89200000",NA,NA,NA,NA," 19.498120","  0.9684211","5.647368e-02","  2.1818182","  5.8100000","0.047734241",NA,NA,NA,"0.008552618",NA,NA," 26.9230769",NA,NA,NA,NA,"WADEABLE","LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade"
"450","WCAP99-0552","WCAP99-0552","N",NA,2000,NA,"14816",34.23908,-118.18059,"CA","MT_SWEST","Southwestern Mountains",NA,"MT",NA,8,"Southern California Mountains","WADEABLE","TARGET",NA,"S","S",NA,NA,8.12,86,286,0.855681818,0.642118614,0.6315132,-1,97.9946524,1.620454545,0.91668182,58.018868,0.502272727,16.1904762,-11.65684569,-0.543219661,-0.545058939,NA,NA,-0.074396212,NA,54.375,0.40523424,NA,1.37377861,0.510525561,0.303462832,1.388798078,NA,1.93201774,1.933857017,-0.137093518,-0.222076586,0,0.521735,0.4850568,0.9951872,341,4.28650485,0.09848636,99.4652406,0.345454545,0.49968532,0,NA,"S","S",NA,NA,3,"MEDITERRANEAN CALIFORNIA",9,0.438636364,3," 2.75000000",NA,NA,NA,NA," 43.029101","  5.7450000","9.406000e-01"," 11.5545455"," 15.4230769","0.000478944",NA,NA,NA,"0.000000000",NA,NA,"  6.4724919",NA,NA,NA,NA,"WADEABLE","LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade"
"451","WCAP99-0558","WCAP99-0558","N",NA,2000,NA,"14789",34.49347,-118.45703,"CA","MT_SWEST","Southwestern Mountains",NA,"MT",NA,8,"Southern California Mountains","WADEABLE","TARGET",NA,"T","T",NA,NA,8.31,51,280,0.620454545,0.672451007,0.483087,-1,94.1176471,1.396590909,2.12881818,98.181818,0.306818182,95.1923077,59.96290687,-3.31418573,-3.320384103,NA,NA,-3.064752461,NA,96.969697,0.25663488,NA,0.92792867,0.295746486,0.108226939,-1.422234047,NA,1.89195168,1.898150055,-0.503289499,-0.161763191,67.3076923,0.3196095,0.3792045,0.9302139,848,4.60382338,0.06818182,92.2459893,0.290909091,0.5890279,0,NA,"T","T",NA,NA,3,"MEDITERRANEAN CALIFORNIA",9,0.296590909,3," 2.15000000",NA,NA,NA,NA," 13.177632","  3.8050000","1.175800e+00","  4.8818182"," 29.8118812","0.002965937",NA,NA,NA,"0.000000000",NA,NA," 22.0588235",NA,NA,NA,NA,"WADEABLE","LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade"
"452","WCAP99-0560","WCAP99-0560","N",NA,2000,NA,"14804",34.55841,-119.14079,"CA","MT_SWEST","Southwestern Mountains",NA,"MT",NA,8,"Southern California Mountains","WADEABLE","TARGET",NA,"R","R",NA,NA,8.15,4,110,0.781818182,1.194804546,0.614632,-0.865,9.4919786,1.355681818,0,55.272727,0.384090909,24.7619048,-6.80864785,-0.334774987,-0.334797629,NA,NA,-0.020907621,NA,51.6666667,0.49044828,NA,1.31520106,0.39503459,0.215441041,1.647475205,NA,1.98225019,1.982272833,0.274919399,0.02099939,0.952381,1,0.4518182,0.5139037,67,15.56046115,0,45.9893048,0.581818182,0.94954095,0.036363636,NA,"R","R",NA,NA,4,"MEDITERRANEAN CALIFORNIA",9,0.469318182,2," 1.85000000",NA,NA,NA,NA," 32.903742"," 10.4900000","4.029550e+00"," 17.2272727"," 36.7722772","0.000012000",NA,NA,NA,"0.000000000",NA,NA,"  0.3571429",NA,NA,NA,NA,"WADEABLE","LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade"
